Name,Rolling,Website,Application Link,Description,On-campus,Award Amount,Support Type,Primary Sponsoring Department,Contact Name,Contact,Eligibility,Major Restriction,Areas of Interest,Need or Merit,Typical Number of Awards,Summer Earnings Relief,Note
Ellen Rudnick ’72 Student Entrepreneur Fund,April 15,https://offices.vassar.edu/career-education/funding/internship-funding/#s-3-ellen-rudnick-72-student-entrepreneur-fund,https://pages.vassar.edu/cdo/ellen-rudnick-72-student-entrepreneur-fund-application/,Provides financial support for Vassar students of all class years to pursue summer opportunities in start-ups/entrepreneurial ventures.,No,"$5,000","Internship,Project",Center for Career Education,Aimee Cunningham,aicunningham@vassar.edu,"First-year,Sophomore,Junior,Senior",Open to all majors,Entrepreneurship,Merit-based,2,,
Harold S. Geneen Fund for Internships in Corporate Life,April 15,https://offices.vassar.edu/careers/funding/internship-funding/,https://pages.vassar.edu/cdo/geneen-application/,"Supports Vassar students at internships associated with corporate governance, compliance, and business ethics.",No,"$4,000",Internship,Center for Career Education,Aimee Cunningham,aicunningham@vassar.edu,"First-year,Sophomore,Junior","Open to all majors; preference for Economics,Political Science","Business,Government",Merit-based,2,checked,
Internship Grant Fund,rolling,https://offices.vassar.edu/career-education/funding/internship-funding/#s-2-internship-grant-fund-igf,https://pages.vassar.edu/cdo/internship-grant-fund-igf-application/,Provides financial support to Vassar students who are participating in low-pay and unpaid summer internship opportunities. ,No,"Up to $4,500","Internship,Research",Center for Career Education,Aimee Cunningham,aicunningham@vassar.edu,"First-year,Sophomore,Junior",Open to all majors,"Arts,Business,Entrepreneurship,Environment,Government,Humanities,International,Non-profit,Research,Science,Social Science",Need-sensitive,110,checked,"- Range is $500-$4,500
- Deadline is rolling from March to May"
Tananbaum Family Leadership Program for Work and Development,April 15,https://offices.vassar.edu/career-education/funding/internship-funding/#s-5-tananbaum-fellowship,https://pages.vassar.edu/cdo/applications/,"Provides internship support, mentoring and enriching educational opportunities for Vassar juniors who demonstrate a commitment to professional and personal growth, achievement and success.",No,"$5,000",Internship,Center for Career Education,Aimee Cunningham,aicunningham@vassar.edu,Junior,Open to all majors,"Arts,Business,Entrepreneurship,Environment,Government,Humanities,International,Non-profit,Research,Science,Social Science",Merit-based,20,checked,"- $5,000 for domestic internships; $6,000 for international
- Summer earning relief for students with unpaid or low-pay internships – up to $2,450"
The Vassar Fund for Living and Working Abroad,April 15,https://offices.vassar.edu/career-education/funding/internship-funding/#s-8-the-vassar-fund-for-living-and-working-abroad,https://pages.vassar.edu/cdo/the-vassar-fund-for-living-and-working-abroad/,Provides grants for students to pursue summer internships in foreign countries,No,"Up to $10,000","Internship,Travel",Center for Career Education,Aimee Cunningham,aicunningham@vassar.edu,"First-year,Sophomore,Junior","Open to all majors; preference for French & Francophone Studies,Humanities,Multi-disciplinary","Arts,Business,Entrepreneurship,Environment,Government,Humanities,International,Non-profit,Research,Science,Social Science",Merit-based,2–5,checked,"- Range is $5,000-$10,000
- Tiered preference for (1) French & Francophone Studies major; 2) French & Francophone Studies correlate; 3) humanities major (including the arts, foreign languages and literatures, and social sciences) or a multi-disciplinary program. Preference for students with limited experience abroad."
Thompson Bartlett Fellowships for Economics,April 15,https://offices.vassar.edu/career-education/funding/internship-funding/#s-6-thompson-bartlett-fellowships-for-economics,https://pages.vassar.edu/cdo/application-for-the-thompson-bartlett-fellowships-for-economics/,Encourages outstanding and highly motivated students to pursue summer opportunities that will allow them to apply their economics education in a practical setting and contribute to US economic advancement,No,"$5,000","Internship,Research",Center for Career Education,Aimee Cunningham,aicunningham@vassar.edu,"Sophomore,Junior",Restricted to Economics majors and correlates,"Business,Entrepreneurship,Environment,Government,Research,Science,Social Science",Merit-based,5,,
"Thompson Bartlett Fellowships for Science, Mathematics and Computer Science",April 15,https://offices.vassar.edu/career-education/funding/internship-funding/#s-7-thompson-bartlett-fellowships-for-science-mathematics-and-computer-science,https://pages.vassar.edu/cdo/thompson-bartlett-fellowships-in-science-mathematics-and-computer-science/,"Encourages outstanding and highly motivated students to pursue summer opportunities that will allow them to build their scientific, mathematical and computer science knowledge and advance their career goals for American scientific advancement",No,"$5,000","Internship,Research",Center for Career Education,Aimee Cunningham,aicunningham@vassar.edu,"Sophomore,Junior","Restricted to Astronomy,Biochemistry,Chemistry,Computer Science,Mathematics,Physics,Biology,Cognitive Science,Earth Science,Neuroscience","Business,Entrepreneurship,Environment,Government,Research,Science,Social Science",Merit-based,15,,
Woodward Student Veterans Fund,May 1,https://offices.vassar.edu/career-education/funding/internship-funding/#s-9-woodward-fund-student-veterans-internship,https://pages.vassar.edu/cdo/woodward-veterans-fund/,Supports veterans enrolled at Vassar pursuing unpaid or low-paid summer internships,No,"Up to $5,000","Internship,Research",Center for Career Education,Aimee Cunningham,aicunningham@vassar.edu,Current Posse or Veterans,Open to all majors,"Arts,Business,Entrepreneurship,Environment,Government,Humanities,International,Non-profit,Research,Science,Social Science",Merit-based,1–5,,
Academic Enrichment Fund,rolling,https://offices.vassar.edu/fellowships/fellowships/all/vassar-funds/academic-enrichment/,https://offices.vassar.edu/fellowships/wp-content/uploads/sites/41/2020/04/grant_funds_app.doc,"Provides financial support for individual students for academic work, with strong preference to work related to a specific for-credit project",,$500,"Research,Project",Dean of Studies Office,Dean of Studies,dos@vassar.edu,"First-year,Sophomore,Junior,Senior",Open to all majors,"Arts,Business,Entrepreneurship,Environment,Government,Humanities,International,Non-profit,Research,Science,Social Science",Open,,,Word document accessible via fund website
Geraldine Gewirtz Friedman ’41 Career Development Fund,rolling,https://offices.vassar.edu/fellowships/fellowships/all/vassar-funds/friedman/,https://offices.vassar.edu/fellowships/wp-content/uploads/sites/41/2020/04/grant_funds_app.doc,"Provides resources for students of drama, film, literature or the visual arts who wish to pursue special professional opportunities in their chosen fields",No,$800,"Internship,Project",Dean of Studies Office,Dean of Studies,dos@vassar.edu,"Junior,Senior",Open to all majors,Arts,Open,,,"- Amount up to $800
- Word document accessible via fund website"
